,Date,City,Street,Rooms,Surface,Floor,Price,PricePerSq,BuildYear,DealYear,DealMonth,Unnamed: 0
0,31/12/2010,rishon-lezion,,5.0,110.0,8.0,"2,035,000",18500.0,2011.0,2010.0,12.0,0.0
1,31/12/2010,rishon-lezion,,3.0,80.0,7.0,"1,363,000",17037.0,2010.0,2010.0,12.0,1.0
2,31/12/2010,rishon-lezion,בורג יוסף,5.0,100.0,5.0,"1,460,000",14600.0,2010.0,2010.0,12.0,2.0
3,31/12/2010,rishon-lezion,ראובן 11,5.0,133.0,8.0,"1,970,000",14812.0,2010.0,2010.0,12.0,3.0
4,31/12/2010,rishon-lezion,נהריים 16,4.0,100.0,18.0,"1,223,300",12233.0,2011.0,2010.0,12.0,4.0
5,31/12/2010,rishon-lezion,הפסנתר 11,4.0,100.0,1.0,"1,300,000",13000.0,1998.0,2010.0,12.0,5.0
6,31/12/2010,rishon-lezion,רופין 8,4.5,191.0,7.0,"1,760,000",9214.0,1982.0,2010.0,12.0,6.0
7,31/12/2010,rishon-lezion,צבי גנות 6,3.0,80.0,3.0,"1,320,500",16506.0,2010.0,2010.0,12.0,7.0
8,31/12/2010,rishon-lezion,תרשיש 6,5.0,125.0,3.0,"1,670,000",13360.0,1997.0,2010.0,12.0,8.0
9,31/12/2010,rishon-lezion,קרון אהרון 28,2.5,59.0,,"860,000",14576.0,1971.0,2010.0,12.0,9.0
10,30/11/2010,rishon-lezion,יהודה רגוניס 1,3.0,66.0,1.0,"1,150,000",17424.0,2005.0,2010.0,11.0,10.0
11,30/11/2010,rishon-lezion,התזמורת 2,4.0,108.0,12.0,"2,365,000",21898.0,1998.0,2010.0,11.0,11.0
12,30/11/2010,rishon-lezion,שבטי ישראל 31,5.0,182.0,,"2,330,000",12802.0,1997.0,2010.0,11.0,12.0
13,30/11/2010,rishon-lezion,ברגמן 8,7.0,178.0,,"2,800,000",15730.0,2002.0,2010.0,11.0,13.0
14,30/11/2010,rishon-lezion,ז''בוטינסקי 50,3.0,63.0,1.0,"800,000",12698.0,1900.0,2010.0,11.0,14.0
15,30/11/2010,rishon-lezion,המגילה 73,5.0,130.0,,"2,050,000",15769.0,1991.0,2010.0,11.0,15.0
16,30/11/2010,rishon-lezion,כורש 7,3.0,78.0,2.0,"1,025,000",13141.0,1980.0,2010.0,11.0,16.0
17,29/11/2010,rishon-lezion,הנחשול 99,5.0,125.0,11.0,"1,984,210",15873.0,2010.0,2010.0,11.0,17.0
18,29/11/2010,rishon-lezion,קפלנסקי 14,3.0,60.0,2.0,"1,070,000",17833.0,1973.0,2010.0,11.0,18.0
19,29/11/2010,rishon-lezion,אברבנאל 43,4.0,92.0,,"1,010,000",10978.0,1982.0,2010.0,11.0,19.0
20,31/10/2010,rishon-lezion,התזמורת 10,4.0,83.0,7.0,"1,380,000",16626.0,1998.0,2010.0,10.0,20.0
21,31/10/2010,rishon-lezion,טרומפלדור 8,3.0,88.0,2.0,"1,285,000",14602.0,2010.0,2010.0,10.0,21.0
22,31/10/2010,rishon-lezion,אלקבץ 13,3.0,65.0,3.0,"1,110,000",17076.0,2004.0,2010.0,10.0,22.0
23,31/10/2010,rishon-lezion,עין הקורא 30,3.0,65.0,2.0,"900,000",13846.0,1970.0,2010.0,10.0,23.0
24,31/10/2010,rishon-lezion,בלקינד שמשון 38,8.0,200.0,,"2,494,000",12470.0,2000.0,2010.0,10.0,24.0
25,31/10/2010,rishon-lezion,וייז סטפן 12,3.5,73.0,4.0,"900,000",12328.0,1967.0,2010.0,10.0,25.0
26,31/10/2010,rishon-lezion,הרב נריה 9,2.5,41.0,3.0,"945,000",23048.0,2001.0,2010.0,10.0,26.0
27,31/10/2010,rishon-lezion,,8.0,200.0,,"2,494,000",12470.0,2000.0,2010.0,10.0,27.0
28,31/10/2010,rishon-lezion,עין הקורא 30,3.0,65.0,2.0,"900,000",13846.0,1970.0,2010.0,10.0,28.0
29,31/10/2010,rishon-lezion,,3.5,73.0,,"900,000",12328.0,1967.0,2010.0,10.0,29.0
30,30/9/2010,rishon-lezion,גרינבוים 7,3.0,78.0,3.0,"600,000",7692.0,1970.0,2010.0,9.0,30.0
31,29/9/2010,rishon-lezion,נחלת יהודה,4.0,100.0,1.0,"1,520,000",15200.0,2010.0,2010.0,9.0,31.0
32,29/9/2010,rishon-lezion,הדייגים 16,6.0,281.0,,"2,600,000",9252.0,2000.0,2010.0,9.0,32.0
33,28/9/2010,rishon-lezion,הנחשול 99,5.0,125.0,11.0,"1,979,210",15833.0,2010.0,2010.0,9.0,33.0
34,28/9/2010,rishon-lezion,תל חי 12,3.0,66.0,4.0,"805,000",12196.0,1900.0,2010.0,9.0,34.0
35,28/9/2010,rishon-lezion,השדה 45,4.0,91.0,1.0,"1,070,000",11758.0,1977.0,2010.0,9.0,35.0
36,28/9/2010,rishon-lezion,ז''בוטינסקי 11,3.0,64.0,4.0,"800,000",12500.0,1971.0,2010.0,9.0,36.0
37,28/9/2010,rishon-lezion,,4.0,100.0,5.0,"1,760,204",17602.0,2007.0,2010.0,9.0,37.0
38,27/9/2010,rishon-lezion,אנילביץ 27,2.0,35.0,2.0,"590,000",16857.0,1988.0,2010.0,9.0,38.0
39,27/9/2010,rishon-lezion,ויניק 25,5.5,120.0,1.0,"1,575,000",13125.0,1995.0,2010.0,9.0,39.0
40,31/8/2010,rishon-lezion,אחד העם 2,4.0,84.0,2.0,"1,212,122",14430.0,1995.0,2010.0,8.0,40.0
41,31/8/2010,rishon-lezion,החייל האלמוני 7,3.0,63.0,3.0,"750,000",11904.0,1977.0,2010.0,8.0,42.0
42,31/8/2010,rishon-lezion,עולי הגרדום 37,3.0,63.0,4.0,"1,100,000",17460.0,1980.0,2010.0,8.0,43.0
43,31/8/2010,rishon-lezion,,4.0,100.0,3.0,"1,341,342",13413.0,2010.0,2010.0,8.0,44.0
44,31/8/2010,rishon-lezion,,4.0,100.0,,"1,560,411",15604.0,2010.0,2010.0,8.0,45.0
45,31/8/2010,rishon-lezion,הרב נריה 10,3.0,72.0,5.0,"1,260,000",17500.0,1997.0,2010.0,8.0,46.0
46,31/8/2010,rishon-lezion,גלוסקין 21,4.0,86.0,2.0,"1,200,000",13953.0,1983.0,2010.0,8.0,47.0
47,30/8/2010,rishon-lezion,ארבל 5,4.0,100.0,1.0,"1,329,000",13290.0,1997.0,2010.0,8.0,48.0
48,30/8/2010,rishon-lezion,ביאליק,2.5,62.0,10.0,"1,032,000",16645.0,2011.0,2010.0,8.0,49.0
49,30/7/2010,rishon-lezion,בורג יוסף 99,5.0,125.0,5.0,"1,490,000",11920.0,2010.0,2010.0,7.0,50.0
50,30/7/2010,rishon-lezion,"רמב""ן 20",4.0,90.0,2.0,"1,370,000",15222.0,1999.0,2010.0,7.0,51.0
51,30/7/2010,rishon-lezion,בורג יוסף 99,5.0,125.0,5.0,"1,490,000",11920.0,2010.0,2010.0,7.0,52.0
52,30/7/2010,rishon-lezion,,5.0,125.0,,"1,490,000",11920.0,2010.0,2010.0,7.0,53.0
53,29/7/2010,rishon-lezion,בני חיל 15,8.0,345.0,,"4,000,000",11594.0,1900.0,2010.0,7.0,54.0
54,29/7/2010,rishon-lezion,לבונטין 19,4.0,103.0,5.0,"1,185,000",11504.0,1980.0,2010.0,7.0,56.0
55,29/7/2010,rishon-lezion,שדרות רחבעם זאבי,4.0,109.0,,"1,812,266",16626.0,2010.0,2010.0,7.0,57.0
