,Date,City,Street,Rooms,Surface,Floor,Price,PricePerSq,BuildYear,DealYear,DealMonth
0,31/12/2010,givatayim,כצנלסון 127,2,48,3,"950,000","19,791",1958,2010.0,12.0
1,31/12/2010,givatayim,המרי 26,4,110,2,"1,550,000","14,090",1970,2010.0,12.0
2,31/12/2010,givatayim,המרי 26,4,110,2,"1,550,000","14,090",1970,2010.0,12.0
3,31/12/2010,givatayim,,2,48,,"950,000","19,791",1958,2010.0,12.0
4,31/12/2010,givatayim,,4,110,,"1,550,000","14,090",1970,2010.0,12.0
5,31/12/2010,givatayim,כצנלסון 127,2,48,3,"950,000","19,791",1958,2010.0,12.0
6,28/12/2010,givatayim,שינקין 75,3,67,1,"1,200,000","17,910",1985,2010.0,12.0
7,28/12/2010,givatayim,הפלמח 14,3,80,2,"650,000","8,125",1960,2010.0,12.0
8,28/12/2010,givatayim,טיבר 22,4,90,1,"2,090,000","23,222",2012,2010.0,12.0
9,28/12/2010,givatayim,הרצוג 29,2.5,62,4,"1,506,024","24,290",1960,2010.0,12.0
10,27/12/2010,givatayim,כצנלסון 8,3,60,,"1,050,000","17,500",1973,2010.0,12.0
11,27/12/2010,givatayim,דרך בן גוריון 256,5,145,6,"3,100,000","21,379",2009,2010.0,12.0
12,26/12/2010,givatayim,כצנלסון 12,2.5,60,,"900,000","15,000",1960,2010.0,12.0
13,26/12/2010,givatayim,בורוכוב 22,4,97,1,"1,701,699","17,543",1977,2010.0,12.0
14,26/12/2010,givatayim,בן צבי שמעון 59,5,114,,"2,800,000","24,561",2008,2010.0,12.0
15,23/12/2010,givatayim,דרך בן גוריון דוד 168,3,73,2,"1,226,225","16,797",1960,2010.0,12.0
16,23/12/2010,givatayim,אחדות העבודה 13,5,132,5,"3,300,000","25,000",1979,2010.0,12.0
17,23/12/2010,givatayim,גולומב 33,3,86,,"2,100,000","24,418",2002,2010.0,12.0
18,22/12/2010,givatayim,זבוטינסקי 56,3,74,1,"1,340,000","18,108",1960,2010.0,12.0
19,22/12/2010,givatayim,בורוכוב 54,4,103,2,"2,150,000","20,873",1990,2010.0,12.0
20,22/12/2010,givatayim,עמישב 71,3,86,9,"1,870,000","21,744",1973,2010.0,12.0
21,21/12/2010,givatayim,כצנלסון 81,1.5,31,1,"730,000","23,548",1960,2010.0,12.0
22,21/12/2010,givatayim,בן צבי שמעון 2,5,164,3,"2,944,790","17,956",2010,2010.0,12.0
23,21/12/2010,givatayim,גולומב 33,4,100,2,"1,950,000","19,500",2003,2010.0,12.0
24,20/12/2010,givatayim,שינקין 48,4,120,3,"1,850,000","15,416",2011,2010.0,12.0
25,20/12/2010,givatayim,המאבק 17,4,53,3,"1,050,000","19,811",1960,2010.0,12.0
26,19/12/2010,givatayim,קרית יוסף 19,3,64,2,"1,620,000","25,312",1979,2010.0,12.0
27,19/12/2010,givatayim,דרך בן גוריון 256,5,145,26,"3,760,000","25,931",2009,2010.0,12.0
