,Date,City,Street,Rooms,Surface,Floor,Price,PricePerSq,BuildYear,DealYear,DealMonth
0,24/12/2020,ראשון לציון,,3,72,,"1,585,000","22,013",1970,2020.0,12.0
1,24/12/2020,ראשון לציון,טיומקין 6,3,72,3,"1,585,000","22,013",1970,2020.0,12.0
2,22/12/2020,ראשון לציון,ריבל 4,4,99,7,"1,850,000","18,686",1997,2020.0,12.0
3,22/12/2020,ראשון לציון,,4,100,,"2,127,500","21,275",2000,2020.0,12.0
4,22/12/2020,ראשון לציון,הדגן 6,4,100,4,"2,127,500","21,275",2000,2020.0,12.0
5,22/12/2020,ראשון לציון,,4,99,,"1,850,000","18,686",1997,2020.0,12.0
6,21/12/2020,ראשון לציון,סמ בצלאל 9,3,83,3,"1,530,000","18,433",1960,2020.0,12.0
7,21/12/2020,ראשון לציון,דרור 20,4,73,1,"1,560,000","21,369",1986,2020.0,12.0
8,21/12/2020,ראשון לציון,,4,73,,"1,560,000","21,369",1986,2020.0,12.0
9,21/12/2020,ראשון לציון,,3,83,,"1,530,000","18,433",1960,2020.0,12.0
10,30/11/2020,ראשון לציון,,3,70,,"1,635,000","23,357",1997,2020.0,11.0
11,30/11/2020,ראשון לציון,,4,107,,"2,470,000","23,084",2003,2020.0,11.0
12,30/11/2020,ראשון לציון,,3,65,,"1,480,000","22,769",1993,2020.0,11.0
13,30/11/2020,ראשון לציון,מעגל השלום 1,4,107,12,"2,470,000","23,084",2003,2020.0,11.0
14,30/11/2020,ראשון לציון,בן סרוק 8,3,70,3,"1,635,000","23,357",1997,2020.0,11.0
15,30/11/2020,ראשון לציון,המרגנית 16,3,65,2,"1,480,000","22,769",1993,2020.0,11.0
16,27/11/2020,ראשון לציון,התזמורת 6,3,76,,"1,810,000","23,815",1997,2020.0,11.0
17,27/11/2020,ראשון לציון,שדרות זלמן שניאור 14,4,80,,"1,730,000","21,625",1980,2020.0,11.0
18,27/11/2020,ראשון לציון,שניאור זלמן 14,4,80,4,"1,730,000","21,625",1980,2020.0,11.0
19,27/11/2020,ראשון לציון,התזמורת 6,3,76,6,"1,810,000","23,815",1997,2020.0,11.0
20,30/10/2020,ראשון לציון,סוקולוב 27,3,108,,"1,521,522","14,088",1970,2020.0,10.0
